2025-10-08 17:56:55,412 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_slash1.uasset
2025-10-08 17:56:55,412 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Walk_1_Fast.uasset
2025-10-08 17:56:55,412 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_slash2.uasset
2025-10-08 17:56:55,412 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Walk_1_Slow.uasset
2025-10-08 17:56:55,413 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_thunder1.uasset
2025-10-08 17:56:55,413 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\BS2D_Crow_Flying.uasset
2025-10-08 17:56:55,413 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_thunder2.uasset
2025-10-08 17:56:55,413 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\BS2D_Crow_Walking.uasset
2025-10-08 17:56:55,413 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_thunder3.uasset
2025-10-08 17:56:55,413 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\BS_FlyUp.uasset
2025-10-08 17:56:55,414 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_trail.uasset
2025-10-08 17:56:55,414 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\BS_Landing.uasset
2025-10-08 17:56:55,414 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_wind1.uasset
2025-10-08 17:56:55,414 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Materials\M_Black.uasset
2025-10-08 17:56:55,414 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_wind2.uasset
2025-10-08 17:56:55,414 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Materials\M_Crow_Body.uasset
2025-10-08 17:56:55,415 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_wind3.uasset
2025-10-08 17:56:55,415 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Materials\M_Crow_Eyes.uasset
2025-10-08 17:56:55,415 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Textures\T_ky_crack06.uasset
